Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
74,Salida en largo,2026-05-29 00:25,Scripted Exit All,7584,1,379025,175,0.05,200,0.05,-312.5,-0.08,29237.5,292.38,27
74,Entrada en largo,2026-05-28 22:10,Scripted Long,7580.5,1,379025,175,0.05,200,0.05,-312.5,-0.08,29237.5,292.38,27
75,Salida en corto,2026-06-01 04:55,Scripted Long,7612.25,1,379225,-1387.5,-0.37,350,0.09,-1800,-0.47,27850,278.50,315
75,Entrada en corto,2026-05-29 01:40,Scripted Short,7584.5,1,379225,-1387.5,-0.37,350,0.09,-1800,-0.47,27850,278.50,315
76,Salida en largo,2026-06-01 06:40,Scripted Exit All,7616.75,1,380612.5,225,0.06,275,0.07,-162.5,-0.04,28075,280.75,21
76,Entrada en largo,2026-06-01 04:55,Scripted Long,7612.25,1,380612.5,225,0.06,275,0.07,-162.5,-0.04,28075,280.75,21
77,Salida en corto,2026-06-01 09:05,Scripted Exit All,7606.5,1,380750,425,0.11,500,0.13,-37.5,-0.01,28500,285.00,14
77,Entrada en corto,2026-06-01 07:55,Scripted Short,7615,1,380750,425,0.11,500,0.13,-37.5,-0.01,28500,285.00,14
78,Salida en largo,2026-06-02 02:25,Scripted Exit All,7597.75,1,379775,112.5,0.03,175,0.05,-950,-0.25,28612.5,286.13,89
78,Entrada en largo,2026-06-01 19:00,Scripted Long,7595.5,1,379775,112.5,0.03,175,0.05,-950,-0.25,28612.5,286.13,89
79,Salida en largo,2026-06-02 10:45,Scripted Exit All,7616.75,1,380025,812.5,0.21,837.5,0.22,-650,-0.17,29425,294.25,38
79,Entrada en largo,2026-06-02 07:35,Scripted Long,7600.5,1,380025,812.5,0.21,837.5,0.22,-650,-0.17,29425,294.25,38
80,Salida en corto,2026-06-02 19:10,Scripted Exit All,7616.25,1,381162.5,350,0.09,362.5,0.10,-187.5,-0.05,29775,297.75,13
80,Entrada en corto,2026-06-02 18:05,Scripted Short,7623.25,1,381162.5,350,0.09,362.5,0.10,-187.5,-0.05,29775,297.75,13
81,Salida en largo,2026-06-02 20:55,Scripted Exit All,7625.5,1,380812.5,462.5,0.12,537.5,0.14,-37.5,-0.01,30237.5,302.38,15
81,Entrada en largo,2026-06-02 19:40,Scripted Long,7616.25,1,380812.5,462.5,0.12,537.5,0.14,-37.5,-0.01,30237.5,302.38,15
82,Salida en corto,2026-06-03 02:10,Scripted Exit All,7618.75,1,381125,187.5,0.05,250,0.07,-100,-0.03,30425,304.25,15
82,Entrada en corto,2026-06-03 00:55,Scripted Short,7622.5,1,381125,187.5,0.05,250,0.07,-100,-0.03,30425,304.25,15
83,Salida en corto,2026-06-03 16:15,Scripted Exit All,7567.25,1,378887.5,525,0.14,587.5,0.16,-250,-0.07,30950,309.50,14
83,Entrada en corto,2026-06-03 15:05,Scripted Short,7577.75,1,378887.5,525,0.14,587.5,0.16,-250,-0.07,30950,309.50,14
84,Salida en largo,2026-06-04 10:25,Scripted Exit All,7569.5,1,377200,1275,0.34,1275,0.34,-975,-0.26,32225,322.25,58
84,Entrada en largo,2026-06-04 05:35,Scripted Long,7544,1,377200,1275,0.34,1275,0.34,-975,-0.26,32225,322.25,58
85,Salida en largo,2026-06-05 06:55,Scripted Short,7569.25,1,379300,-837.5,-0.22,37.5,0.01,-1962.5,-0.52,31387.5,313.88,143
85,Entrada en largo,2026-06-04 19:00,Scripted Long,7586,1,379300,-837.5,-0.22,37.5,0.01,-1962.5,-0.52,31387.5,313.88,143
86,Salida en corto,2026-06-05 08:05,Scripted Exit All,7561,1,378462.5,412.5,0.11,487.5,0.13,-87.5,-0.02,31800,318.00,14
86,Entrada en corto,2026-06-05 06:55,Scripted Short,7569.25,1,378462.5,412.5,0.11,487.5,0.13,-87.5,-0.02,31800,318.00,14
87,Salida en largo,2026-06-07 21:30,Scripted Short,7393,1,378087.5,-8437.5,-2.23,12.5,0.00,-10312.5,-2.73,23362.5,233.63,140
