Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
34,Entrada en largo,2026-04-06 14:15,Scripted Long,6637.5,1,331875,675,0.20,700,0.21,-37.5,-0.01,16775,167.75,19
35,Salida en corto,2026-04-06 21:50,Scripted Exit All,6624.25,1,332262.5,1050,0.32,1062.5,0.32,-475,-0.14,17825,178.25,41
35,Entrada en corto,2026-04-06 18:25,Scripted Short,6645.25,1,332262.5,1050,0.32,1062.5,0.32,-475,-0.14,17825,178.25,41
36,Salida en largo,2026-04-07 14:40,Scripted Short,6622.5,1,331162.5,-37.5,-0.01,1162.5,0.35,-2525,-0.76,17787.5,177.88,75
36,Entrada en largo,2026-04-07 08:25,Scripted Long,6623.25,1,331162.5,-37.5,-0.01,1162.5,0.35,-2525,-0.76,17787.5,177.88,75
37,Salida en corto,2026-04-07 15:05,Scripted Exit All,6603.25,1,331125,962.5,0.29,1275,0.39,-37.5,-0.01,18750,187.50,5
37,Entrada en corto,2026-04-07 14:40,Scripted Short,6622.5,1,331125,962.5,0.29,1275,0.39,-37.5,-0.01,18750,187.50,5
38,Salida en corto,2026-04-08 09:45,Scripted Exit All,6816.5,1,341637.5,812.5,0.24,975,0.29,-200,-0.06,19562.5,195.63,17
38,Entrada en corto,2026-04-08 08:20,Scripted Short,6832.75,1,341637.5,812.5,0.24,975,0.29,-200,-0.06,19562.5,195.63,17
39,Salida en corto,2026-04-09 03:50,Scripted Exit All,6796.25,1,340887.5,1075,0.32,1262.5,0.37,-675,-0.20,20637.5,206.38,161
39,Entrada en corto,2026-04-08 13:25,Scripted Short,6817.75,1,340887.5,1075,0.32,1262.5,0.37,-675,-0.20,20637.5,206.38,161
40,Salida en largo,2026-04-09 09:45,Scripted Exit All,6819.25,1,340037.5,925,0.27,1050,0.31,-412.5,-0.12,21562.5,215.63,60
40,Entrada en largo,2026-04-09 04:45,Scripted Long,6800.75,1,340037.5,925,0.27,1050,0.31,-412.5,-0.12,21562.5,215.63,60
41,Salida en largo,2026-04-09 21:10,Scripted Exit All,6862.75,1,342875,262.5,0.08,400,0.12,-275,-0.08,21825,218.25,16
41,Entrada en largo,2026-04-09 19:50,Scripted Long,6857.5,1,342875,262.5,0.08,400,0.12,-275,-0.08,21825,218.25,16
42,Salida en corto,2026-04-10 02:20,Scripted Exit All,6857.25,1,343125,262.5,0.08,300,0.09,-300,-0.09,22087.5,220.88,51
42,Entrada en corto,2026-04-09 22:05,Scripted Short,6862.5,1,343125,262.5,0.08,300,0.09,-300,-0.09,22087.5,220.88,51
43,Salida en largo,2026-04-13 12:35,Scripted Exit All,6875.25,1,342850,912.5,0.27,1237.5,0.36,-4500,-1.31,23000,230.00,260
43,Entrada en largo,2026-04-10 13:55,Scripted Long,6857,1,342850,912.5,0.27,1237.5,0.36,-4500,-1.31,23000,230.00,260
44,Salida en largo,2026-04-14 03:10,Scripted Exit All,6935.5,1,346150,625,0.18,675,0.20,-25,-0.01,23625,236.25,8
44,Entrada en largo,2026-04-14 02:30,Scripted Long,6923,1,346150,625,0.18,675,0.20,-25,-0.01,23625,236.25,8
45,Salida en largo,2026-04-15 08:40,Scripted Exit All,7010.25,1,350075,437.5,0.12,825,0.24,-100,-0.03,24062.5,240.63,23
45,Entrada en largo,2026-04-15 06:45,Scripted Long,7001.5,1,350075,437.5,0.12,825,0.24,-100,-0.03,24062.5,240.63,23
46,Salida en largo,2026-04-16 02:10,Scripted Exit All,7076.5,1,353562.5,262.5,0.07,312.5,0.09,-12.5,0.00,24325,243.25,9
46,Entrada en largo,2026-04-16 01:25,Scripted Long,7071.25,1,353562.5,262.5,0.07,312.5,0.09,-12.5,0.00,24325,243.25,9
