Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
46,Salida en corto,2026-04-27 21:55,Scripted Exit All,1.174,1,146831.25,81.25,0.06,87.5,0.06,-31.25,-0.02,343.75,3.44,17
46,Entrada en corto,2026-04-27 20:30,Scripted Short,1.17465,1,146831.25,81.25,0.06,87.5,0.06,-31.25,-0.02,343.75,3.44,17
47,Salida en largo,2026-04-29 04:05,Scripted Short,1.17225,1,146800,-268.75,-0.18,0,0.00,-293.75,-0.20,75,0.75,96
47,Entrada en largo,2026-04-28 20:05,Scripted Long,1.1744,1,146800,-268.75,-0.18,0,0.00,-293.75,-0.20,75,0.75,96
48,Salida en corto,2026-04-29 09:45,Scripted Exit All,1.17115,1,146531.25,137.5,0.09,200,0.14,-143.75,-0.10,212.5,2.13,68
48,Entrada en corto,2026-04-29 04:05,Scripted Short,1.17225,1,146531.25,137.5,0.09,200,0.14,-143.75,-0.10,212.5,2.13,68
49,Salida en corto,2026-04-29 13:10,Scripted Exit All,1.1705,1,146412.5,100,0.07,112.5,0.08,-118.75,-0.08,312.5,3.13,15
49,Entrada en corto,2026-04-29 11:55,Scripted Short,1.1713,1,146412.5,100,0.07,112.5,0.08,-118.75,-0.08,312.5,3.13,15
50,Salida en corto,2026-04-29 18:05,Scripted Exit All,1.16955,1,146306.25,112.5,0.08,243.75,0.17,-50,-0.03,425,4.25,36
50,Entrada en corto,2026-04-29 14:05,Scripted Short,1.17045,1,146306.25,112.5,0.08,243.75,0.17,-50,-0.03,425,4.25,36
51,Salida en largo,2026-04-30 06:55,Scripted Exit All,1.1735,1,146475,212.5,0.15,225,0.15,-68.75,-0.05,637.5,6.38,13
51,Entrada en largo,2026-04-30 05:50,Scripted Long,1.1718,1,146475,212.5,0.15,225,0.15,-68.75,-0.05,637.5,6.38,13
52,Salida en largo,2026-05-01 08:20,Scripted Exit All,1.1788,1,146975,375,0.26,387.5,0.26,-43.75,-0.03,1012.5,10.13,66
52,Entrada en largo,2026-05-01 02:50,Scripted Long,1.1758,1,146975,375,0.26,387.5,0.26,-43.75,-0.03,1012.5,10.13,66
