Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
24,Salida en corto,2026-05-06 03:15,Scripted Exit All,0.0064095,1,80350,231.25,0.29,231.25,0.29,-12.5,-0.02,912.5,9.13,25
24,Entrada en corto,2026-05-06 01:10,Scripted Short,0.006428,1,80350,231.25,0.29,231.25,0.29,-12.5,-0.02,912.5,9.13,25
25,Salida en corto,2026-05-06 19:45,Scripted Exit All,0.006413,1,80181.25,18.75,0.02,37.5,0.05,-75,-0.09,931.25,9.31,24
25,Entrada en corto,2026-05-06 16:45,Scripted Short,0.0064145,1,80181.25,18.75,0.02,37.5,0.05,-75,-0.09,931.25,9.31,24
26,Salida en corto,2026-05-06 23:15,Scripted Exit All,0.0064155,1,80262.5,68.75,0.09,75,0.09,-37.5,-0.05,1000,10.00,15
26,Entrada en corto,2026-05-06 22:00,Scripted Short,0.006421,1,80262.5,68.75,0.09,75,0.09,-37.5,-0.05,1000,10.00,15
27,Salida en corto,2026-05-07 05:10,Scripted Exit All,0.006415,1,80256.25,68.75,0.09,87.5,0.11,-31.25,-0.04,1068.75,10.69,17
27,Entrada en corto,2026-05-07 03:45,Scripted Short,0.0064205,1,80256.25,68.75,0.09,87.5,0.11,-31.25,-0.04,1068.75,10.69,17
28,Salida en corto,2026-05-07 12:10,Scripted Exit All,0.0064075,1,80193.75,100,0.12,112.5,0.14,-100,-0.12,1168.75,11.69,31
28,Entrada en corto,2026-05-07 09:35,Scripted Short,0.0064155,1,80193.75,100,0.12,112.5,0.14,-100,-0.12,1168.75,11.69,31
29,Salida en corto,2026-05-10 20:50,Scripted Exit All,0.0063885,1,79943.75,87.5,0.11,118.75,0.15,-206.25,-0.26,1256.25,12.56,239
29,Entrada en corto,2026-05-07 23:55,Scripted Short,0.0063955,1,79943.75,87.5,0.11,118.75,0.15,-206.25,-0.26,1256.25,12.56,239
30,Salida en corto,2026-05-11 13:00,Scripted Exit All,0.006382,1,79825,50,0.06,56.25,0.07,-37.5,-0.05,1306.25,13.06,34
30,Entrada en corto,2026-05-11 10:10,Scripted Short,0.006386,1,79825,50,0.06,56.25,0.07,-37.5,-0.05,1306.25,13.06,34
31,Salida en corto,2026-05-12 21:15,Scripted Exit All,0.0063565,1,79531.25,75,0.09,87.5,0.11,-25,-0.03,1381.25,13.81,51
31,Entrada en corto,2026-05-12 16:00,Scripted Short,0.0063625,1,79531.25,75,0.09,87.5,0.11,-25,-0.03,1381.25,13.81,51
32,Salida en corto,2026-05-13 08:55,Scripted Exit All,0.006352,1,79437.5,37.5,0.05,112.5,0.14,-6.25,-0.01,1418.75,14.19,8
